iter	RMSE
0	73.06811473
1	71.98002091
2	70.91848992
3	69.96701956
4	69.16066609
5	68.34166823
6	67.54726677
7	66.87006336
8	66.21181012
9	65.65051739
10	65.07581436
11	64.53947463
12	64.12450989
13	63.64586435
14	63.22701376
15	62.82921506
16	62.49591742
17	62.15523272
18	61.84151719
19	61.54008374
20	61.27986476
21	60.98937506
22	60.77755726
23	60.61921616
24	60.38428407
25	60.11624717
26	59.91981118
27	59.73123048
28	59.56023466
29	59.39852942
30	59.24827805
31	59.04892119
32	58.97206535
33	58.79444118
34	58.66867061
35	58.53193205
36	58.38918489
37	58.24706185
38	58.16847193
39	58.04543201
40	57.94626264
41	57.85379134
42	57.76219378
43	57.68015515
44	57.6187121
45	57.46543024
46	57.38308342
47	57.30930277
48	57.25005997
49	57.16072008
50	57.03480906
51	56.91225012
52	56.85321426
53	56.76259144
54	56.68681699
55	56.60632204
