iter	Passed	Remaining
0	21	10611
1	42	10552
2	63	10456
3	84	10471
4	109	10827
5	135	11125
6	153	10807
7	172	10631
8	191	10437
9	211	10356
10	227	10114
11	248	10092
12	268	10053
13	289	10033
14	308	9989
15	326	9878
16	345	9814
17	363	9741
18	381	9655
19	399	9590
20	419	9569
21	439	9550
22	459	9525
23	478	9484
24	499	9491
25	517	9434
26	537	9407
27	555	9362
28	574	9325
29	592	9286
30	611	9243
31	629	9204
32	645	9131
33	665	9123
34	684	9092
35	704	9081
36	728	9113
37	747	9091
38	769	9097
39	788	9064
40	805	9019
41	824	8995
42	844	8976
43	866	8984
44	886	8964
45	904	8925
46	922	8887
47	943	8888
48	961	8850
49	981	8834
50	1000	8807
51	1021	8804
52	1046	8823
53	1066	8810
54	1086	8788
55	1106	8773
